식당이름,식당종류,식당주소,지하철길찾기,전화번호,홈페이지
마하차이 성수본점,태국음식,서울 성동구 뚝섬로 399 2층,성수역 3번 출구에서 61m,0507-1317-5678,https://www.instagram.com/mahachai_thaifood/
,,,미터,,
맥시크,"멕시코,남미음식",서울 성동구 상원1길 35 1층,뚝섬역 7번 출구에서 110m,0507-1312-0260,https://www.instagram.com/mcchic.seoul
,,,미터,,
메종 파이프그라운드,브런치,"서울 성동구 왕십리로 83-21 지하1층 B124호, B125호",수인분당서울숲역 4번 출구에서 38m,0507-1398-7624,https://app.catchtable.co.kr/ct/shop/maison_pipeground
,,,미터,,
멘츠루 성수점,일본식라면,서울 성동구 성수이로20길 10 103호,성수역 3번 출구에서 15m,0507-1345-9465,https://www.instagram.com/menchuru__seongsu?igshid=YTQwZjQ0NmI0OA==
,,,미터,,
무식당 성수본점,"육류,고기요리",서울 성동구 왕십리로10길 5-9 무식당,뚝섬역 7번 출구에서 06m,0507-1471-8303,http://catchtable.co.kr/moosikdang
,,,미터,,
문화식당,요리주점,서울 성동구 성수일로4길 45 2층 문화식당,성수역 4번 출구에서 30m,0507-1445-9026,https://app.catchtable.co.kr/ct/shop/munhwasikdang?from=share&type=WAITING
,,,미터,,
미도인 성수,양식,서울 성동구 연무장7가길 3 1층,성수역 4번 출구에서 5m,0507-1353-1997,https://www.instagram.com/midoin_seongsu/
,,,미터,,
미쁘동 서울숲,일식당,서울 성동구 서울숲2길 11-12 2층,뚝섬역 8번 출구에서 583m,0507-1471-1881,https://www.instagram.com/mibbedong_official
,,,미터,,
미스타쌀국수 성수점,베트남음식,서울 성동구 상원4길 4 1층 미스타쌀국수 성수점,뚝섬역 3번 출구에서 141m,0507-1372-7212,https://www.instagram.com/mestarphoseongsu/
,,,미터,,
미테이블 성수점,양식,서울 성동구 왕십리로8길 5 대영빌딩,뚝섬역 7번 출구에서 1m,0507-1434-0089,https://blog.naver.com/metable99
,,,미터,,
버섯집,한식,서울 성동구 왕십리로5길 9-10 1층,수인분당서울숲역 5번 출구에서 95m,02-3409-8887,https://www.instagram.com/mushroomhouse_127/
,,,미터,,
벱,베트남음식,서울 성동구 성수일로4가길 2 1층,성수역 4번 출구에서 336m,0507-1315-4502,http://www.instagram.com/bep_seoul
,,,미터,,
봄의정원 성수점,양식,서울 성동구 연무장길 81 지하 봄의정원,성수역 3번 출구에서 437m,0507-1372-0201,http://www.instagram.com/spring__garden_
,,,미터,,
봉땅 서울숲점,베이커리,서울 성동구 서울숲6길 16-1 1층 봉땅,뚝섬역 8번 출구에서 38m,0507-1464-7769,https://www.bontemps-seoul.com/
,,,미터,,
부우이 성수,양식,서울 성동구 서울숲2길 16-12 2층,수인분당서울숲역 5번 출구에서 635m,0507-1380-5986,NULL
,,,미터,,
브리비트,양식,서울 성동구 상원6길 5-1 1층,뚝섬역 4번 출구에서 45m,0507-1333-9197,https://catchtable.co.kr/bribeet_official
,,,미터,,
빙봉,브런치,서울 성동구 서울숲2길 18-14 1층,수인분당서울숲역 5번 출구에서 596m,0507-1445-8790,http://instagram.com/bimbomcafe
,,,미터,,
빠오즈푸 서울숲직영점,"딤섬,중식만두",서울 성동구 왕십리로6길 13 1층,뚝섬역 7번 출구에서 195m,0507-1333-9256,http://www.instagram.com/baozi.pu
,,,미터,,
뽈로파스타 서울숲,양식,서울 성동구 서울숲2길 15 2층,뚝섬역 8번 출구에서 588m,0507-1376-0394,https://www.instagram.com/pollo_pasta
,,,미터,,
산도스 성수,샌드위치,서울 성동구 서울숲2길 6 지하 1층,뚝섬역 8번 출구에서 615m,0507-1311-8010,https://app.catchtable.co.kr/ct/shop/sandos_seongsu
,,,미터,,
살라댕템플,양식,서울 성동구 성수이로16길 32,성수역 3번 출구에서 789m,0507-1359-2289,https://app.catchtable.co.kr/ct/shop/saladaengtemple
,,,미터,,
샤블리 성수서울숲점,샤브샤브,서울 성동구 서울숲4길 28 2층,뚝섬역 8번 출구에서 34m,0507-1415-3075,https://www.instagram.com/shabuly_official/
,,,미터,,
서울숲누룽지통닭구이,"치킨,닭강정",서울 성동구 왕십리로5길 10,뚝섬역 8번 출구에서 56m,02-462-9920,NULL
,,,미터,,
서울숲포도피자 성수,양식,서울 성동구 서울숲4길 22-7 지하1층,수인분당서울숲역 5번 출구에서 410m,0507-1388-2071,https://www.instagram.com/podopizza_seongsu
,,,미터,,
성수AGU,"아귀찜,해물찜",서울 성동구 상원길 48-1 AGU,뚝섬역 3번 출구에서 193m,0507-1474-5667,https://www.instagram.com/seongsu_agu
,,,미터,,
성수다락,"스파게티,파스타전문",서울 성동구 뚝섬로9길 20 2층,성수역 3번 출구에서 576m,0507-1349-9197,http://www.instagram.com/sungsu_darak
,,,미터,,
성수명당,요리주점,서울 성동구 연무장19길 10 1층,7건대입구역 6번 출구에서 6m,0507-1493-3227,https://catchtable.co.kr/sungsumd
,,,미터,,
성수신데렐라,바(BAR),서울 성동구 아차산로7가길 3-4 1층,성수역 1번 출구에서 0m,0507-1401-5866,https://app.catchtable.co.kr/ct/shop/cinderella_ss
,,,미터,,
성수온실 성수본점,한식,서울 성동구 왕십리로4길 26-14 2층,뚝섬역 7번 출구에서 75m,010-6668-7786,https://www.instagram.com/seongsu_onsil
,,,미터,,
성수족발,"족발,보쌈",서울 성동구 아차산로7길 7 동진빌딩 1층 성수족발,성수역 1번 출구에서 164m,02-464-0425,https://blog.naver.com/ssjb1983
,,,미터,,
세븐버거스 어 위크,햄버거,서울 성동구 왕십리로10길 5-6 1층,뚝섬역 7번 출구에서 05m,0507-1463-8966,NULL
,,,미터,,
소랑호젠,"스파게티,파스타전문",서울 성동구 왕십리로 58 1층 110호,수인분당서울숲역 번 출구에서 101m,0507-1380-1046,https://www.instagram.com/explore/tags/%EC%86%8C%EB%9E%91%ED%98%B8%EC%A0%A0/
,,,미터,,
소문난성수감자탕,감자탕,서울 성동구 연무장길 45,성수역 4번 출구에서 66m,02-465-6580,NULL
,,,미터,,
소바식당,"우동,소바",서울 성동구 연무장7가길 6 1층,성수역 4번 출구에서 51m,02-6339-1552,https://www.instagram.com/sobasikdang/
,,,미터,,
소인수서울 본점,"곱창,막창,양",서울 성동구 왕십리로 136 1층,뚝섬역 1번 출구에서 74m,02-464-2177,https://app.catchtable.co.kr/ct/shop/soinsu
,,,미터,,
스시도쿠 더성수,"초밥,롤",서울 성동구 서울숲6길 13 1층 스시도쿠 더성수,뚝섬역 8번 출구에서 37m,0507-1478-0774,https://catchtable.co.kr/sushidoku_seongsu
,,,미터,,
시옹마오,아시아음식,서울 성동구 연무장7길 7-1 3층 시옹마오,성수역 4번 출구에서 175m,0507-1463-0138,https://www.instagram.com/xiongmao_asianfood
,,,미터,,
신기루오뎅바,이자카야,서울 성동구 성수이로 37 2층,성수역 3번 출구에서 669m,070-8657-3843,https://www.instagram.com/seenkeeroo_seongsu
,,,미터,,
신사소곱창 성수점,"곱창,막창,양",서울 성동구 아차산로7길 10 1층,성수역 1번 출구에서 173m,02-466-5047,NULL
,,,미터,,
심퍼티쿠시 성수점,양식,서울 성동구 아차산로 6 3층 R5호,뚝섬역 8번 출구에서 84m,0507-1337-7679,https://www.catchtable.net/shop/szimpatikus_seongsu
,,,미터,,
싹쓰리곱창,"곱창,막창,양",서울 성동구 뚝섬로 408 1층,성수역 3번 출구에서 737m,0507-1469-3461,http://instagram.com/ssack.3
,,,미터,,
쎄콩데live,양식,서울 성동구 서울숲2길 34 2층,수인분당서울숲역 5번 출구에서 45m,0507-1391-3053,https://www.secondaire.co.kr/store
,,,미터,,
앤드밀 성수점,브런치,서울 성동구 연무장3길 5-1 3층,성수역 4번 출구에서 431m,070-8888-0919,http://instagram.com/andmeal_sy
,,,미터,,
어라운드데이,"카페,디저트",서울 성동구 서울숲2길 24-1 어라운드데이,수인분당서울숲역 5번 출구에서 518m,0507-1431-8310,https://instagram.com/around.day
,,,미터,,
엘더버거 성수,햄버거,서울 성동구 서울숲2길 40-7 1층 엘더버거,수인분당서울숲역 5번 출구에서 367m,0507-1375-5619,http://instagram.com/elderburger
,,,미터,,
연남토마 성수점,퓨전음식,서울 성동구 서울숲4길 16-20,수인분당서울숲역 5번 출구에서 447m,0507-1335-6548,https://app.catchtable.co.kr/ct/shop/yntm_ss
,,,미터,,
오뜨로 성수,양식,서울 성동구 뚝섬로1길 31 서울숲 M타워,수인분당서울숲역 1번 출구에서 90m,0507-1483-1019,https://catchtable.co.kr/otro_seongsu
,,,미터,,
오마카세 오사이초밥 성수직영점,"초밥,롤",서울 성동구 연무장3길 9-14 1층,성수역 4번 출구에서 371m,0507-1431-5420,https://catchtable.co.kr/542sushiss
,,,미터,,
오와리 본점,이자카야,서울 성동구 연무장길 13 1층 오와리,뚝섬역 5번 출구에서 440m,0507-1376-9512,https://www.instagram.com/owari_seongsu/
,,,미터,,
오지상 성수,이자카야,서울 성동구 상원2길 1 지하1층,뚝섬역 5번 출구에서 107m,0507-1357-3441,https://www.instagram.com/ojisang_chef
,,,미터,,
오프트,떡볶이,서울 성동구 왕십리로10길 20 1층,뚝섬역 7번 출구에서 14m,0507-1374-1405,http://catchtable.co.kr/oftt
,,,미터,,
오후,"백반,가정식",서울 성동구 서울숲2길 44-7 1층,수인분당서울숲역 5번 출구에서 336m,0507-1487-8885,http://www.instagram.com/o.__.hoo
,,,미터,,
온량,양식,서울 성동구 서울숲4길 26-10 1층,수인분당서울숲역 5번 출구에서 368m,02-6403-3643,http://www.instagram.com/onryang_restaurant
,,,미터,,
요쇼쿠 서울숲 본점,돈가스,서울 성동구 서울숲4길 26-10 2층,수인분당서울숲역 5번 출구에서 373m,0507-1476-0390,NULL
,,,미터,,
우동가조쿠 성수점,"우동,소바",서울 성동구 연무장길 9 1층,뚝섬역 5번 출구에서 393m,0507-1368-2177,NULL
,,,미터,,
우리마키 성수점,일식당,서울 성동구 성수이로7길 32 1층,성수역 4번 출구에서 359m,0507-1470-8338,http://woorimaki.com/
,,,미터,,
위풍당당족발,"족발,보쌈",서울 성동구 성수일로8길 53 성수동복합시설,성수역 번 출구에서 150m,0507-1424-3323,https://blog.naver.com/silverywater
,,,미터,,
육육면관,중식당,서울 성동구 왕십리로4가길 9 1층,뚝섬역 7번 출구에서 70m,02-497-6266,NULL
,,,미터,,
이가네양꼬치 성수직영점,양꼬치,서울 성동구 아차산로 116 1층 109호 (서울특별시 성동구 성수동2가 315-1 1층 109호),성수역 3번 출구에서 14m,0507-1392-9688,NULL
,,,미터,,
이로우,이자카야,서울 성동구 연무장길 12 1층,뚝섬역 5번 출구에서 417m,0507-1325-7448,NULL
,,,미터,,
이오로비스트로 성수점,퓨전음식,서울 성동구 연무장5길 18 1층,성수역 4번 출구에서 16m,0507-1467-0702,https://app.catchtable.co.kr/ct/shop/iorobistro_sungsu
,,,미터,,
일상담미 성수점,한식,서울 성동구 뚝섬로13길 36 6층 일상담미,성수역 3번 출구에서 511m,02-2138-0823,https://www.instagram.com/ilsangdammi_seongsu/
,,,미터,,
잠수교집 성수 직영점,돼지고기구이,서울 성동구 아차산로 137 1층 잠수교집,성수역 번 출구에서 0m,0507-1326-0434,NULL
,,,미터,,
정돈 성수점,돈가스,서울 성동구 왕십리로 83-21 B1 정돈,수인분당서울숲역 4번 출구에서 139m,0507-1460-7622,NULL
,,,미터,,
제스티살룬 성수,햄버거,서울 성동구 서울숲4길 13 1층 제스티살룬,뚝섬역 8번 출구에서 466m,0507-1371-2622,http://catchtable.co.kr/
,,,미터,,
제제,중식당,서울 성동구 서울숲길 46-1 1층,뚝섬역 8번 출구에서 416m,0507-1329-7000,https://catchtable.co.kr/jeje
,,,미터,,
조조칼국수 성수점,"칼국수,만두",서울 성동구 성수일로8길 55 1층,성수역 번 출구에서 111m,0507-1472-4334,https://smartstore.naver.com/jojofood
,,,미터,,
죠죠 성수점,일식당,서울 성동구 연무장17길 7,성수역 3번 출구에서 616m,0507-1328-8757,https://www.instagram.com/jyojyo.kr
,,,미터,,
중앙감속기,퓨전음식,서울 성동구 성수일로6길 7-1 1층 중앙감속기,뚝섬역 5번 출구에서 91m,0507-1316-9628,https://www.instagram.com/centralreducer
,,,미터,,
진작다이닝,일식당,서울 성동구 왕십리로14나길 10,뚝섬역 1번 출구에서 37m,0507-1357-7415,https://catchtable.co.kr/jinjakdining_seongsu
,,,미터,,
차만다 서울숲점,양식,서울 성동구 서울숲2길 28-12 1.5층 차만다,수인분당서울숲역 5번 출구에서 504m,02-6448-0812,https://bit.ly/%EC%B0%A8%EB%A7%8C%EB%8B%A4%EC%98%88%EC%95%BD%ED%95%98%EA%B8%B0
,,,미터,,
초이다이닝 성수점,일식당,서울 성동구 연무장길 50 2층 201호,성수역 4번 출구에서 31m,0507-1498-5055,NULL
,,,미터,,
쵸리상경,한식,서울 성동구 서울숲4길 18-8 2층 쵸리상경,수인분당서울숲역 5번 출구에서 436m,0507-1492-0157,http://www.instagram.com/chyorisangkyung
,,,미터,,
코치,"일식튀김,꼬치",서울 성동구 성덕정17길 11 1층,성수역 3번 출구에서 76m,0507-1366-6720,NULL
,,,미터,,
쿠나,이탈리아음식,서울 성동구 연무장5길 9-16 105호,성수역 4번 출구에서 59m,0507-1448-1040,http://www.instagram.com/chefkuna
,,,미터,,
타코튜즈데이 성수 본점,"멕시코,남미음식",서울 성동구 왕십리로10길 10 1층,뚝섬역 7번 출구에서 155m,0507-1319-0248,http://app.catchtable.co.kr/ct/shop/taco_tuesday
,,,미터,,
탐광,일식당,서울 성동구 연무장5가길 26,성수역 3번 출구에서 1m,070-8869-3333,NULL
,,,미터,,
파르코,이탈리아음식,서울 성동구 서울숲2길 44,수인분당서울숲역 5번 출구에서 31m,0507-1376-8589,http://www.instagram.com/pizzeria_parco
,,,미터,,
퍼프피자,피자,"서울 성동구 서울숲4길 18-10 3층, 루프탑",수인분당서울숲역 5번 출구에서 4m,0507-1390-8880,https://app.catchtable.co.kr/ct/shop/fufpizza
,,,미터,,
평이담백뼈칼국수 성수점,"칼국수,만두",서울 성동구 상원10길 10 1층,뚝섬역 4번 출구에서 356m,070-8870-6879,NULL
,,,미터,,
포피나,양식,서울 성동구 서울숲2길 13 1층,뚝섬역 8번 출구에서 586m,0507-1498-8831,http://www.instagram.com/popina_seoul
,,,미터,,
프레고클럽,이탈리아음식,서울 성동구 상원2길 1-10 지1층,뚝섬역 5번 출구에서 87m,0507-1343-6845,https://app.catchtable.co.kr/ct/shop/pregoclub
,,,미터,,
하노이102,베트남음식,서울 성동구 서울숲6길 18,뚝섬역 8번 출구에서 31m,0507-1433-5102,NULL
,,,미터,,
한양떡방앗간 성수,종합분식,서울 성동구 왕십리로4가길 3 지하1층,수인분당서울숲역 1번 출구에서 51m,0507-1345-5787,https://www.instagram.com/hanyang_dduck
,,,미터,,
할머니의 레시피,"백반,가정식",서울 성동구 서울숲2길 44-12,수인분당서울숲역 5번 출구에서 34m,0507-1429-5101,https://grandmarecipe.modoo.at/
,,,미터,,
핵밥 성수본점,덮밥,서울 성동구 연무장7길 7 2층,성수역 4번 출구에서 186m,070-7537-3926,https://www.hecbob.com/
,,,미터,,
헤이든 성수점,술집,서울 성동구 왕십리로10길 24 지1층,뚝섬역 7번 출구에서 155m,0507-1321-6825,https://app.catchtable.co.kr/ct/shop/heideun
,,,미터,,
호감도,이자카야,서울 성동구 연무장9길 8-1 지하1층,성수역 3번 출구에서 198m,0507-1345-9563,https://blog.naver.com/hogamdo22
,,,미터,,
호보식당 성수직영점,"육류,고기요리",서울 성동구 아차산로 97 1층,성수역 1번 출구에서 31m,02-461-0108,NULL
,,,미터,,
호호식당 성수,일식당,서울 성동구 서울숲4길 25,뚝섬역 8번 출구에서 36m,0507-1322-2384,http://www.instagram.com/hohosikdang
,,,미터,,
홍보석,중식당,서울 성동구 성덕정7길 13 1층,수인분당서울숲역 번 출구에서 756m,02-3409-3311,NULL
,,,미터,,
훈연,일식당,서울 성동구 서울숲4길 22-7 건물 1층 훈연 매장,뚝섬역 8번 출구에서 396m,0507-1445-7331,https://www.instagram.com/hoonyeon_ss?igsh=ZGIvejltcnlxaGR1
,,,미터,,
훼미리손칼국수보쌈,"칼국수,만두",서울 성동구 왕십리로 134,뚝섬역 1번 출구에서 55m,02-463-5036,NULL
,,,미터,,
